site1,site2,objective,sample_id,latitude,longitude,status,spp,dbh_cm,tree_ht_m,age,elev_m,vpd_min,vpd_max,temp_min_c,temp_max_c,temp_mean_c,precip_mm,modis_npp,cwd_1981_2010,cwd_2041_2070,sol_rad30,slope,asw_mm,aspect,forest_group,stems_ha,sum_ht_m,mean_ht_m,crown_ha,trees15_ha,basal15_m2ha,drip_ba_m2,pvt,bai50_total,bai25_total,bai10_total,bai5_total,bai50_mean,bai25_mean,bai10_mean,bai5_mean,bai50_scaled_mean,bai25_scaled_mean,bai10_scaled_mean,bai5_scaled_mean
mal,mal1,N,050163,44.082658,-118.576453,A,PSME,57.9,25,75,1452.491509,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,190915.6719,11.37406349,60.96,92.7378006,group2,141,2990.3928,21.20845957,160,226.2,24.8,0.259181394,PIPO_Dry,44608.12471,21410.73022,8964.224248,3994.055024,892.1624942,856.4292089,896.4224248,798.8110047,0.316162886,0.207195047,0.329153447,0.031489649
mal,mal1,Y,050172,44.082989,-118.576557,A,PIPO,43.6,27,116,1455.714531,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,192170.0625,11.85698318,60.96,102.5524292,group2,131,2488.692,18.99764885,146,226.2,24.8,0,PIPO_Dry,84455.22576,46631.15393,17544.4378,7110.846688,1689.104515,1865.246157,1754.44378,1422.169338,0.893161794,1.1285154,0.980465577,0.536493401
mal,mal1,Y,050182,44.083057,-118.576489,A,PIPO,53.3,23,375,1456.146579,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,191197,11.62443829,60.96,101.0837326,group2,123,2348.484,19.09336585,142,226.2,24.8,0.282743339,PIPO_Dry,57965.98849,24480.90316,7668.832499,3218.216098,1159.31977,979.2361266,766.8832499,643.6432197,0.910346196,0.552101266,0.129662337,-0.11550216
mal,mal1,Y,050195,44.083041,-118.576323,A,PICO,10.4,8,43,1452.437931,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,193520.4844,9.344942093,60.96,104.5743027,group2,123,2366.1624,19.23709268,144,226.2,24.8,0,PIPO_Dry,5581.424194,4466.329705,1750.546006,1009.07956,143.1134409,178.6531882,175.0546006,201.8159121,-2.99E-17,0.438019235,0.393667469,0.723494495
mal,mal1,Y,050205,44.083004,-118.576336,A,PICO,10,5,50,1452.437931,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,192557.9219,9.344942093,60.96,104.5743027,group2,123,2377.1352,19.32630244,143,226.2,24.8,0,PIPO_Dry,8145.667202,4641.032101,2290.841509,1396.513019,169.7014,185.6412841,229.0841509,279.3026037,7.01931e-17,0.172250856,0.641706655,1.184381336
mal,mal1,N,050212,44.082655,-118.577006,A,PIPO,70.9,35,288,1465.955692,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,143.0374603,177.401413,186104.9844,22.26985741,60.96,82.0945816,group2,174,3516.4776,20.20964138,190,226.2,24.8,0.285727852,PIPO_Dry,76992.07396,35084.61026,16318.5318,7856.4082,1539.841479,1403.384411,1631.85318,1571.28164,0.063491459,-0.119600628,0.186948709,0.105676483
mal,mal1,N,050222,44.083203,-118.576384,A,PIPO,62.5,26,375,1454.809358,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,168.9181366,206.0663605,193520.4844,10.11290836,60.96,95.70648956,group2,118,2231.136,18.9079322,136,226.2,24.8,0,PIPO_Dry,29171.57274,14490.17137,6677.008765,3634.647713,583.4314549,579.6068549,667.7008765,726.9295427,-0.431096432,-0.437418876,-0.29179069,-0.193879809
mal,mal1,N,050235,44.083079,-118.576164,A,PICO,40.3,28,124,1451.347021,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,193520.4844,7.160020351,60.96,104.4229355,group2,123,2464.6128,20.03750244,140,226.2,24.8,0,PIPO_Dry,47881.08652,18908.20066,8275.086054,4489.416327,957.6217304,756.3280264,827.5086054,897.8832654,0.049730014,-0.358321874,-0.214028391,-0.071368624
mal,mal1,N,050243,44.083008,-118.57617,A,PSME,37.8,23,89,1451.001591,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,192557.9219,6.627259731,60.96,106.4676132,group2,122,2380.7928,19.51469508,141,226.2,24.8,0.070685835,PIPO_Dry,59724.25999,41730.59203,24695.00679,11905.51555,1194.4852,1669.223681,2469.500679,2381.10311,0.581528277,1.174419638,2.173869519,2.06347157
mal,mal1,Y,050254,44.08333,-118.576392,A,ABGR,10.1,8,38,1454.925593,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,168.9181366,206.0663605,193245.2969,9.859185219,60.96,91.47518158,group2,112,2172.3096,19.39562143,128,226.2,24.8,0,PIPO_Dry,6288.424227,6011.423405,4088.895936,2297.943079,174.6784508,240.4569362,408.8895936,459.5886158,-7.61E-17,0.391146494,1.392717797,1.694195471
mal,mal1,Y,050263,44.083356,-118.576477,A,PSME,91.694,25,83,1456.702303,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,168.9181366,206.0663605,190203.2656,10.60466099,60.96,87.03430939,group2,119,2383.536,20.02971429,133,226.2,24.8,0,PIPO_Dry,87093.13283,54342.63732,26654.02606,12632.38521,1741.862657,2173.705493,2665.402606,2526.477043,0.561303905,1.005578416,1.511430258,1.368505376
mal,mal1,Y,050272,44.083382,-118.576337,A,PIPO,17,11,103,1454.909966,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,168.9181366,206.0663605,193245.2969,9.706308365,60.96,88.14700317,group2,117,2265.5784,19.36391795,131,226.2,24.8,0,PIPO_Dry,11793.70438,5707.906914,2198.84311,947.8097071,235.8740877,228.3162765,219.884311,189.5619414,0.680319753,0.613187638,0.538290863,0.268952987
mal,mal1,Y,050285,44.08336,-118.576313,D,PICO,18.7,13,100,1453.265564,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,168.9181366,206.0663605,193245.2969,8.741405487,60.96,88.57181549,group2,117,2224.7352,19.01483077,128,226.2,24.8,0,PIPO_Dry,18093.17508,8334.029558,3014.11939,1264.532826,361.8635016,333.3611823,301.411939,252.9065653,0.525362041,0.349766083,0.152934451,-0.145895532
